FPR,TPR,Threshold
0.13797133249063895,0.954474744058782,0.8403
0.1379951823320375,0.9544808927967535,0.84
0.1380428820148346,0.954487041534725,0.8394
0.1380428820148346,0.9544993390106681,0.8384
0.1380428820148346,0.9545116364866111,0.837
0.13806673185623317,0.9545116364866111,0.8364
0.13806673185623317,0.9545239339625542,0.836
0.13806673185623317,0.9545423801764688,0.8354
0.13806673185623317,0.9545485289144403,0.835
0.13809058169763172,0.9545669751283549,0.8345
0.13809058169763172,0.9545731238663264,0.834
0.13813828138042883,0.954579272604298,0.831
0.13813828138042883,0.9545854213422695,0.8306
0.13813828138042883,0.9545977188182125,0.83
0.13816213122182738,0.9546038675561841,0.8296
0.13816213122182738,0.9546100162941556,0.829
0.13818598106322594,0.9546161650321272,0.8286
0.13818598106322594,0.9546284625080702,0.8276
0.13823368074602305,0.9546284625080702,0.8267
0.13823368074602305,0.9546407599840133,0.826
0.1382575305874216,0.9546469087219848,0.8257
0.13828138042882016,0.9546469087219848,0.825
0.13828138042882016,0.9546530574599563,0.824
0.1383052302702187,0.9546653549358994,0.823
0.13832908011161726,0.954671503673871,0.8228
0.13832908011161726,0.9547145448396717,0.8164
0.13835292995301582,0.9547206935776432,0.815
0.13835292995301582,0.9547329910535862,0.8145
0.13837677979441437,0.9547391397915578,0.814
0.13837677979441437,0.9547575860054723,0.8135
0.13840062963581293,0.954776032219387,0.813
0.13842447947721148,0.9547821809573585,0.8125
0.13842447947721148,0.95478832969533,0.812
0.13844832931861004,0.95478832969533,0.811
0.13844832931861004,0.9548006271712731,0.8096
0.1384721791600086,0.9548067759092447,0.8086
0.1384721791600086,0.9548129246472161,0.8076
0.1384721791600086,0.9548252221231592,0.807
0.1384721791600086,0.9548313708611308,0.806
0.13849602900140714,0.9548313708611308,0.8047
0.13849602900140714,0.9548436683370738,0.8027
0.1385198788428057,0.9548498170750453,0.8022
0.1385198788428057,0.9548621145509885,0.8013
0.1385198788428057,0.9548682632889599,0.801
0.1385675785256028,0.954880560764903,0.8
0.1385675785256028,0.9548867095028746,0.7993
0.13861527820839992,0.9548867095028746,0.7983
0.13861527820839992,0.9548990069788176,0.7964
0.13861527820839992,0.9549051557167891,0.794
0.13863912804979847,0.9549113044547607,0.793
0.13866297789119703,0.9549113044547607,0.7905
0.13866297789119703,0.9549236019307037,0.789
0.13868682773259558,0.9549236019307037,0.7886
0.13868682773259558,0.9549297506686752,0.787
0.13868682773259558,0.9549420481446184,0.7866
0.13868682773259558,0.9549604943585329,0.7837
0.13871067757399413,0.9549666430965045,0.783
0.1387345274153927,0.9549666430965045,0.7827
0.1387345274153927,0.9549727918344759,0.7812
0.1387345274153927,0.954985089310419,0.781
0.13875837725679124,0.9549912380483906,0.7803
0.13880607693958835,0.9549973867863621,0.7793
0.13880607693958835,0.9550035355243336,0.7783
0.13880607693958835,0.9550281304762197,0.7754
0.13880607693958835,0.9550650229040489,0.767
0.1388299267809869,0.9550650229040489,0.7666
0.1388299267809869,0.9550711716420205,0.766
